"success","timeout","failed_images","failed_audio","failed_video","phase","experiment_trial_type","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","matrix_size","transition_matrix","conditional_entropies","sequence","trials_per_block","total_trials","practice_trials","rt","view_history","stimulus","response","position","correct_key","correct","block","trial_in_block","overall_trial","question_order","questionnaire_item"
"","","","","","main","rsi","html-keyboard-response","852","233570","0.0-258.0-1.0","ryb4m30t6j","5","[[2.2810200821347542e-12,3.9538476741810906e-13,0.9825839587255226,2.9386389293618804e-8,0.017416011885411743],[0.7969164797561713,3.6481581356842484e-13,0,0.026421846928536295,0.17666167331492752],[3.2885474652985434e-12,0.4831041495863661,4.741668439306562e-12,0.2571482015480124,0.2597476488575913],[1.995939108510658e-12,0.4831098941010826,1.0877792280166039e-11,0.2571435213548588,0.2597465845311848],[0.2030842083988753,0.033786647393713225,0.01741338428087338,0.4592870624592545,0.28642869746728356]]","[0.12667614577183756,0.8413164910598776,1.5160625724021144,1.5160573619183269,1.766160826711344]","[2,1,0,2,4,0,2,1,0,2,1,0,2,1,0,2,3,1,0,2,1,0,2,4,4,0,2,1,4,3,1,0,2,1,0,2,3,1,0,2,1,0,2,3,4,3,3,3,1,0,2,1,0,2,3,1,0,2,3,3,4,4,3,1,4,3,4,4,4,3,4,0,2,1,0,2,1,0,2,1,0,2,4,3,4,3,4,3,1,0,2,1,0,2,3,1,0,2,3,1,0,2,1,0,2,3,4,3,1,0,2,4,4,3,3,4,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,4,3,1,0,2,1,0,2,1,4,0,2,4,1,0,2,1,0,2,1,0,2,1,0,2,1,4,3,4,3,3,3,4,4,3,1,3,3,4,4,3,1,0,2,1,0,2,3,3,1,0,2,1,4,0,2,1,0,2,3,1,0,2,3,4,3,4,4,3,1,0,2,1,0,2,4,3,4,3,1,3,1,0,2,1,0,2,1,0,2,1,0,2,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,1,0,2,3,1,0,2,1,0,2,4,3,1,0,2,3,3,1,0,2,3,4,3,1,4,3,1,0,2,1,0,2,4,4,3,4,3,1,0,2,3,1,0,2,1,4,3,1,0,2,1,0,2,4,2,1,0,2,1,4,3,1,0,2,4,3,4,4,0,2,3,1,4,3,4,2,3,3,3,3,3,1,0,2,4,3,1,0,2,1,0,2,4,3,3,1,0,2,3,1,0,2,3,4,4,3,4,3,4,4]","50","350","10","null","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""4""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-5pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","",""
"","","","","","main","stimulus","html-keyboard-response","853","233775","0.0-259.0-0.0-0.0","ryb4m30t6j","5","[[2.2810200821347542e-12,3.9538476741810906e-13,0.9825839587255226,2.9386389293618804e-8,0.017416011885411743],[0.7969164797561713,3.6481581356842484e-13,0,0.026421846928536295,0.17666167331492752],[3.2885474652985434e-12,0.4831041495863661,4.741668439306562e-12,0.2571482015480124,0.2597476488575913],[1.995939108510658e-12,0.4831098941010826,1.0877792280166039e-11,0.2571435213548588,0.2597465845311848],[0.2030842083988753,0.033786647393713225,0.01741338428087338,0.4592870624592545,0.28642869746728356]]","[0.12667614577183756,0.8413164910598776,1.5160625724021144,1.5160573619183269,1.766160826711344]","[2,1,0,2,4,0,2,1,0,2,1,0,2,1,0,2,3,1,0,2,1,0,2,4,4,0,2,1,4,3,1,0,2,1,0,2,3,1,0,2,1,0,2,3,4,3,3,3,1,0,2,1,0,2,3,1,0,2,3,3,4,4,3,1,4,3,4,4,4,3,4,0,2,1,0,2,1,0,2,1,0,2,4,3,4,3,4,3,1,0,2,1,0,2,3,1,0,2,3,1,0,2,1,0,2,3,4,3,1,0,2,4,4,3,3,4,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,4,3,1,0,2,1,0,2,1,4,0,2,4,1,0,2,1,0,2,1,0,2,1,0,2,1,4,3,4,3,3,3,4,4,3,1,3,3,4,4,3,1,0,2,1,0,2,3,3,1,0,2,1,4,0,2,1,0,2,3,1,0,2,3,4,3,4,4,3,1,0,2,1,0,2,4,3,4,3,1,3,1,0,2,1,0,2,1,0,2,1,0,2,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,1,0,2,3,1,0,2,1,0,2,4,3,1,0,2,3,3,1,0,2,3,4,3,1,4,3,1,0,2,1,0,2,4,4,3,4,3,1,0,2,3,1,0,2,1,4,3,1,0,2,1,0,2,4,2,1,0,2,1,4,3,1,0,2,4,3,4,4,0,2,3,1,4,3,4,2,3,3,3,3,3,1,0,2,4,3,1,0,2,1,0,2,4,3,3,1,0,2,3,1,0,2,3,4,4,3,4,3,4,4]","50","350","10","205","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""position-box active"" data-position=""0""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""4""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-5pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","s","0","s","true","4","41","241","",""
"","","","","","main","feedback","html-keyboard-response","854","233977","0.0-259.0-0.0-1.0","ryb4m30t6j","5","[[2.2810200821347542e-12,3.9538476741810906e-13,0.9825839587255226,2.9386389293618804e-8,0.017416011885411743],[0.7969164797561713,3.6481581356842484e-13,0,0.026421846928536295,0.17666167331492752],[3.2885474652985434e-12,0.4831041495863661,4.741668439306562e-12,0.2571482015480124,0.2597476488575913],[1.995939108510658e-12,0.4831098941010826,1.0877792280166039e-11,0.2571435213548588,0.2597465845311848],[0.2030842083988753,0.033786647393713225,0.01741338428087338,0.4592870624592545,0.28642869746728356]]","[0.12667614577183756,0.8413164910598776,1.5160625724021144,1.5160573619183269,1.766160826711344]","[2,1,0,2,4,0,2,1,0,2,1,0,2,1,0,2,3,1,0,2,1,0,2,4,4,0,2,1,4,3,1,0,2,1,0,2,3,1,0,2,1,0,2,3,4,3,3,3,1,0,2,1,0,2,3,1,0,2,3,3,4,4,3,1,4,3,4,4,4,3,4,0,2,1,0,2,1,0,2,1,0,2,4,3,4,3,4,3,1,0,2,1,0,2,3,1,0,2,3,1,0,2,1,0,2,3,4,3,1,0,2,4,4,3,3,4,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,4,3,1,0,2,1,0,2,1,4,0,2,4,1,0,2,1,0,2,1,0,2,1,0,2,1,4,3,4,3,3,3,4,4,3,1,3,3,4,4,3,1,0,2,1,0,2,3,3,1,0,2,1,4,0,2,1,0,2,3,1,0,2,3,4,3,4,4,3,1,0,2,1,0,2,4,3,4,3,1,3,1,0,2,1,0,2,1,0,2,1,0,2,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,1,0,2,3,1,0,2,1,0,2,4,3,1,0,2,3,3,1,0,2,3,4,3,1,4,3,1,0,2,1,0,2,4,4,3,4,3,1,0,2,3,1,0,2,1,4,3,1,0,2,1,0,2,4,2,1,0,2,1,4,3,1,0,2,4,3,4,4,0,2,3,1,4,3,4,2,3,3,3,3,3,1,0,2,4,3,1,0,2,1,0,2,4,3,3,1,0,2,3,1,0,2,3,4,4,3,4,3,4,4]","50","350","10","null","","<div class=""feedback-message""><div class=""feedback-correct"">✓</div></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""position-box active"" data-position=""0""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""4""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-5pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","",""
"","","","","","main","rsi","html-keyboard-response","855","234098","0.0-259.0-1.0","ryb4m30t6j","5","[[2.2810200821347542e-12,3.9538476741810906e-13,0.9825839587255226,2.9386389293618804e-8,0.017416011885411743],[0.7969164797561713,3.6481581356842484e-13,0,0.026421846928536295,0.17666167331492752],[3.2885474652985434e-12,0.4831041495863661,4.741668439306562e-12,0.2571482015480124,0.2597476488575913],[1.995939108510658e-12,0.4831098941010826,1.0877792280166039e-11,0.2571435213548588,0.2597465845311848],[0.2030842083988753,0.033786647393713225,0.01741338428087338,0.4592870624592545,0.28642869746728356]]","[0.12667614577183756,0.8413164910598776,1.5160625724021144,1.5160573619183269,1.766160826711344]","[2,1,0,2,4,0,2,1,0,2,1,0,2,1,0,2,3,1,0,2,1,0,2,4,4,0,2,1,4,3,1,0,2,1,0,2,3,1,0,2,1,0,2,3,4,3,3,3,1,0,2,1,0,2,3,1,0,2,3,3,4,4,3,1,4,3,4,4,4,3,4,0,2,1,0,2,1,0,2,1,0,2,4,3,4,3,4,3,1,0,2,1,0,2,3,1,0,2,3,1,0,2,1,0,2,3,4,3,1,0,2,4,4,3,3,4,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,4,3,1,0,2,1,0,2,1,4,0,2,4,1,0,2,1,0,2,1,0,2,1,0,2,1,4,3,4,3,3,3,4,4,3,1,3,3,4,4,3,1,0,2,1,0,2,3,3,1,0,2,1,4,0,2,1,0,2,3,1,0,2,3,4,3,4,4,3,1,0,2,1,0,2,4,3,4,3,1,3,1,0,2,1,0,2,1,0,2,1,0,2,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,1,0,2,3,1,0,2,1,0,2,4,3,1,0,2,3,3,1,0,2,3,4,3,1,4,3,1,0,2,1,0,2,4,4,3,4,3,1,0,2,3,1,0,2,1,4,3,1,0,2,1,0,2,4,2,1,0,2,1,4,3,1,0,2,4,3,4,4,0,2,3,1,4,3,4,2,3,3,3,3,3,1,0,2,4,3,1,0,2,1,0,2,4,3,3,1,0,2,3,1,0,2,3,4,4,3,4,3,4,4]","50","350","10","null","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""4""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-5pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","",""
"","","","","","main","stimulus","html-keyboard-response","856","234432","0.0-260.0-0.0-0.0","ryb4m30t6j","5","[[2.2810200821347542e-12,3.9538476741810906e-13,0.9825839587255226,2.9386389293618804e-8,0.017416011885411743],[0.7969164797561713,3.6481581356842484e-13,0,0.026421846928536295,0.17666167331492752],[3.2885474652985434e-12,0.4831041495863661,4.741668439306562e-12,0.2571482015480124,0.2597476488575913],[1.995939108510658e-12,0.4831098941010826,1.0877792280166039e-11,0.2571435213548588,0.2597465845311848],[0.2030842083988753,0.033786647393713225,0.01741338428087338,0.4592870624592545,0.28642869746728356]]","[0.12667614577183756,0.8413164910598776,1.5160625724021144,1.5160573619183269,1.766160826711344]","[2,1,0,2,4,0,2,1,0,2,1,0,2,1,0,2,3,1,0,2,1,0,2,4,4,0,2,1,4,3,1,0,2,1,0,2,3,1,0,2,1,0,2,3,4,3,3,3,1,0,2,1,0,2,3,1,0,2,3,3,4,4,3,1,4,3,4,4,4,3,4,0,2,1,0,2,1,0,2,1,0,2,4,3,4,3,4,3,1,0,2,1,0,2,3,1,0,2,3,1,0,2,1,0,2,3,4,3,1,0,2,4,4,3,3,4,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,4,3,1,0,2,1,0,2,1,4,0,2,4,1,0,2,1,0,2,1,0,2,1,0,2,1,4,3,4,3,3,3,4,4,3,1,3,3,4,4,3,1,0,2,1,0,2,3,3,1,0,2,1,4,0,2,1,0,2,3,1,0,2,3,4,3,4,4,3,1,0,2,1,0,2,4,3,4,3,1,3,1,0,2,1,0,2,1,0,2,1,0,2,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,1,0,2,3,1,0,2,1,0,2,4,3,1,0,2,3,3,1,0,2,3,4,3,1,4,3,1,0,2,1,0,2,4,4,3,4,3,1,0,2,3,1,0,2,1,4,3,1,0,2,1,0,2,4,2,1,0,2,1,4,3,1,0,2,4,3,4,4,0,2,3,1,4,3,4,2,3,3,3,3,3,1,0,2,4,3,1,0,2,1,0,2,4,3,3,1,0,2,3,1,0,2,3,4,4,3,4,3,4,4]","50","350","10","333","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""position-box active"" data-position=""2""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""4""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-5pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","f","2","f","true","4","42","242","",""
"","","","","","main","feedback","html-keyboard-response","857","234633","0.0-260.0-0.0-1.0","ryb4m30t6j","5","[[2.2810200821347542e-12,3.9538476741810906e-13,0.9825839587255226,2.9386389293618804e-8,0.017416011885411743],[0.7969164797561713,3.6481581356842484e-13,0,0.026421846928536295,0.17666167331492752],[3.2885474652985434e-12,0.4831041495863661,4.741668439306562e-12,0.2571482015480124,0.2597476488575913],[1.995939108510658e-12,0.4831098941010826,1.0877792280166039e-11,0.2571435213548588,0.2597465845311848],[0.2030842083988753,0.033786647393713225,0.01741338428087338,0.4592870624592545,0.28642869746728356]]","[0.12667614577183756,0.8413164910598776,1.5160625724021144,1.5160573619183269,1.766160826711344]","[2,1,0,2,4,0,2,1,0,2,1,0,2,1,0,2,3,1,0,2,1,0,2,4,4,0,2,1,4,3,1,0,2,1,0,2,3,1,0,2,1,0,2,3,4,3,3,3,1,0,2,1,0,2,3,1,0,2,3,3,4,4,3,1,4,3,4,4,4,3,4,0,2,1,0,2,1,0,2,1,0,2,4,3,4,3,4,3,1,0,2,1,0,2,3,1,0,2,3,1,0,2,1,0,2,3,4,3,1,0,2,4,4,3,3,4,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,4,3,1,0,2,1,0,2,1,4,0,2,4,1,0,2,1,0,2,1,0,2,1,0,2,1,4,3,4,3,3,3,4,4,3,1,3,3,4,4,3,1,0,2,1,0,2,3,3,1,0,2,1,4,0,2,1,0,2,3,1,0,2,3,4,3,4,4,3,1,0,2,1,0,2,4,3,4,3,1,3,1,0,2,1,0,2,1,0,2,1,0,2,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,1,0,2,3,1,0,2,1,0,2,4,3,1,0,2,3,3,1,0,2,3,4,3,1,4,3,1,0,2,1,0,2,4,4,3,4,3,1,0,2,3,1,0,2,1,4,3,1,0,2,1,0,2,4,2,1,0,2,1,4,3,1,0,2,4,3,4,4,0,2,3,1,4,3,4,2,3,3,3,3,3,1,0,2,4,3,1,0,2,1,0,2,4,3,3,1,0,2,3,1,0,2,3,4,4,3,4,3,4,4]","50","350","10","null","","<div class=""feedback-message""><div class=""feedback-correct"">✓</div></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""position-box active"" data-position=""2""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""4""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-5pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","",""
"","","","","","main","rsi","html-keyboard-response","858","234755","0.0-260.0-1.0","ryb4m30t6j","5","[[2.2810200821347542e-12,3.9538476741810906e-13,0.9825839587255226,2.9386389293618804e-8,0.017416011885411743],[0.7969164797561713,3.6481581356842484e-13,0,0.026421846928536295,0.17666167331492752],[3.2885474652985434e-12,0.4831041495863661,4.741668439306562e-12,0.2571482015480124,0.2597476488575913],[1.995939108510658e-12,0.4831098941010826,1.0877792280166039e-11,0.2571435213548588,0.2597465845311848],[0.2030842083988753,0.033786647393713225,0.01741338428087338,0.4592870624592545,0.28642869746728356]]","[0.12667614577183756,0.8413164910598776,1.5160625724021144,1.5160573619183269,1.766160826711344]","[2,1,0,2,4,0,2,1,0,2,1,0,2,1,0,2,3,1,0,2,1,0,2,4,4,0,2,1,4,3,1,0,2,1,0,2,3,1,0,2,1,0,2,3,4,3,3,3,1,0,2,1,0,2,3,1,0,2,3,3,4,4,3,1,4,3,4,4,4,3,4,0,2,1,0,2,1,0,2,1,0,2,4,3,4,3,4,3,1,0,2,1,0,2,3,1,0,2,3,1,0,2,1,0,2,3,4,3,1,0,2,4,4,3,3,4,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,4,3,1,0,2,1,0,2,1,4,0,2,4,1,0,2,1,0,2,1,0,2,1,0,2,1,4,3,4,3,3,3,4,4,3,1,3,3,4,4,3,1,0,2,1,0,2,3,3,1,0,2,1,4,0,2,1,0,2,3,1,0,2,3,4,3,4,4,3,1,0,2,1,0,2,4,3,4,3,1,3,1,0,2,1,0,2,1,0,2,1,0,2,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,1,0,2,3,1,0,2,1,0,2,4,3,1,0,2,3,3,1,0,2,3,4,3,1,4,3,1,0,2,1,0,2,4,4,3,4,3,1,0,2,3,1,0,2,1,4,3,1,0,2,1,0,2,4,2,1,0,2,1,4,3,1,0,2,4,3,4,4,0,2,3,1,4,3,4,2,3,3,3,3,3,1,0,2,4,3,1,0,2,1,0,2,4,3,3,1,0,2,3,1,0,2,3,4,4,3,4,3,4,4]","50","350","10","null","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""4""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-5pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","",""
"","","","","","main","stimulus","html-keyboard-response","859","234938","0.0-261.0-0.0-0.0","ryb4m30t6j","5","[[2.2810200821347542e-12,3.9538476741810906e-13,0.9825839587255226,2.9386389293618804e-8,0.017416011885411743],[0.7969164797561713,3.6481581356842484e-13,0,0.026421846928536295,0.17666167331492752],[3.2885474652985434e-12,0.4831041495863661,4.741668439306562e-12,0.2571482015480124,0.2597476488575913],[1.995939108510658e-12,0.4831098941010826,1.0877792280166039e-11,0.2571435213548588,0.2597465845311848],[0.2030842083988753,0.033786647393713225,0.01741338428087338,0.4592870624592545,0.28642869746728356]]","[0.12667614577183756,0.8413164910598776,1.5160625724021144,1.5160573619183269,1.766160826711344]","[2,1,0,2,4,0,2,1,0,2,1,0,2,1,0,2,3,1,0,2,1,0,2,4,4,0,2,1,4,3,1,0,2,1,0,2,3,1,0,2,1,0,2,3,4,3,3,3,1,0,2,1,0,2,3,1,0,2,3,3,4,4,3,1,4,3,4,4,4,3,4,0,2,1,0,2,1,0,2,1,0,2,4,3,4,3,4,3,1,0,2,1,0,2,3,1,0,2,3,1,0,2,1,0,2,3,4,3,1,0,2,4,4,3,3,4,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,4,3,1,0,2,1,0,2,1,4,0,2,4,1,0,2,1,0,2,1,0,2,1,0,2,1,4,3,4,3,3,3,4,4,3,1,3,3,4,4,3,1,0,2,1,0,2,3,3,1,0,2,1,4,0,2,1,0,2,3,1,0,2,3,4,3,4,4,3,1,0,2,1,0,2,4,3,4,3,1,3,1,0,2,1,0,2,1,0,2,1,0,2,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,1,0,2,3,1,0,2,1,0,2,4,3,1,0,2,3,3,1,0,2,3,4,3,1,4,3,1,0,2,1,0,2,4,4,3,4,3,1,0,2,3,1,0,2,1,4,3,1,0,2,1,0,2,4,2,1,0,2,1,4,3,1,0,2,4,3,4,4,0,2,3,1,4,3,4,2,3,3,3,3,3,1,0,2,4,3,1,0,2,1,0,2,4,3,3,1,0,2,3,1,0,2,3,4,4,3,4,3,4,4]","50","350","10","182","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""position-box active"" data-position=""3""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""4""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-5pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","d","3","j","false","4","43","243","",""
"","","","","","main","feedback","html-keyboard-response","860","235146","0.0-261.0-0.0-1.0","ryb4m30t6j","5","[[2.2810200821347542e-12,3.9538476741810906e-13,0.9825839587255226,2.9386389293618804e-8,0.017416011885411743],[0.7969164797561713,3.6481581356842484e-13,0,0.026421846928536295,0.17666167331492752],[3.2885474652985434e-12,0.4831041495863661,4.741668439306562e-12,0.2571482015480124,0.2597476488575913],[1.995939108510658e-12,0.4831098941010826,1.0877792280166039e-11,0.2571435213548588,0.2597465845311848],[0.2030842083988753,0.033786647393713225,0.01741338428087338,0.4592870624592545,0.28642869746728356]]","[0.12667614577183756,0.8413164910598776,1.5160625724021144,1.5160573619183269,1.766160826711344]","[2,1,0,2,4,0,2,1,0,2,1,0,2,1,0,2,3,1,0,2,1,0,2,4,4,0,2,1,4,3,1,0,2,1,0,2,3,1,0,2,1,0,2,3,4,3,3,3,1,0,2,1,0,2,3,1,0,2,3,3,4,4,3,1,4,3,4,4,4,3,4,0,2,1,0,2,1,0,2,1,0,2,4,3,4,3,4,3,1,0,2,1,0,2,3,1,0,2,3,1,0,2,1,0,2,3,4,3,1,0,2,4,4,3,3,4,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,4,3,1,0,2,1,0,2,1,4,0,2,4,1,0,2,1,0,2,1,0,2,1,0,2,1,4,3,4,3,3,3,4,4,3,1,3,3,4,4,3,1,0,2,1,0,2,3,3,1,0,2,1,4,0,2,1,0,2,3,1,0,2,3,4,3,4,4,3,1,0,2,1,0,2,4,3,4,3,1,3,1,0,2,1,0,2,1,0,2,1,0,2,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,1,0,2,3,1,0,2,1,0,2,4,3,1,0,2,3,3,1,0,2,3,4,3,1,4,3,1,0,2,1,0,2,4,4,3,4,3,1,0,2,3,1,0,2,1,4,3,1,0,2,1,0,2,4,2,1,0,2,1,4,3,1,0,2,4,3,4,4,0,2,3,1,4,3,4,2,3,3,3,3,3,1,0,2,4,3,1,0,2,1,0,2,4,3,3,1,0,2,3,1,0,2,3,4,4,3,4,3,4,4]","50","350","10","null","","<div class=""feedback-message""><div class=""feedback-error"">✗<br>Try again!</div></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">S</div><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box active"" data-position=""3""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""4""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-5pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","",""
"","","","","","main","retry","html-keyboard-response","861","235323","0.0-261.0-0.1-0.1","ryb4m30t6j","5","[[2.2810200821347542e-12,3.9538476741810906e-13,0.9825839587255226,2.9386389293618804e-8,0.017416011885411743],[0.7969164797561713,3.6481581356842484e-13,0,0.026421846928536295,0.17666167331492752],[3.2885474652985434e-12,0.4831041495863661,4.741668439306562e-12,0.2571482015480124,0.2597476488575913],[1.995939108510658e-12,0.4831098941010826,1.0877792280166039e-11,0.2571435213548588,0.2597465845311848],[0.2030842083988753,0.033786647393713225,0.01741338428087338,0.4592870624592545,0.28642869746728356]]","[0.12667614577183756,0.8413164910598776,1.5160625724021144,1.5160573619183269,1.766160826711344]","[2,1,0,2,4,0,2,1,0,2,1,0,2,1,0,2,3,1,0,2,1,0,2,4,4,0,2,1,4,3,1,0,2,1,0,2,3,1,0,2,1,0,2,3,4,3,3,3,1,0,2,1,0,2,3,1,0,2,3,3,4,4,3,1,4,3,4,4,4,3,4,0,2,1,0,2,1,0,2,1,0,2,4,3,4,3,4,3,1,0,2,1,0,2,3,1,0,2,3,1,0,2,1,0,2,3,4,3,1,0,2,4,4,3,3,4,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,4,3,1,0,2,1,0,2,1,4,0,2,4,1,0,2,1,0,2,1,0,2,1,0,2,1,4,3,4,3,3,3,4,4,3,1,3,3,4,4,3,1,0,2,1,0,2,3,3,1,0,2,1,4,0,2,1,0,2,3,1,0,2,3,4,3,4,4,3,1,0,2,1,0,2,4,3,4,3,1,3,1,0,2,1,0,2,1,0,2,1,0,2,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,1,0,2,3,1,0,2,1,0,2,4,3,1,0,2,3,3,1,0,2,3,4,3,1,4,3,1,0,2,1,0,2,4,4,3,4,3,1,0,2,3,1,0,2,1,4,3,1,0,2,1,0,2,4,2,1,0,2,1,4,3,1,0,2,4,3,4,4,0,2,3,1,4,3,4,2,3,3,3,3,3,1,0,2,4,3,1,0,2,1,0,2,4,3,3,1,0,2,3,1,0,2,3,4,4,3,4,3,4,4]","50","350","10","177","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">S</div><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box active"" data-position=""3""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""4""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-5pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","j","3","j","true","4","43","243","",""
